,return,volatility,last_price,date
AAPL,0.08939035389032522,1.970731580279324,171.75799560546875,2023-11-01
MSFT,0.02564615623527028,2.977117621148985,344.1600036621094,2023-11-01
AMZN,0.32358424333753877,6.847852834653351,135.51499938964844,2023-11-01
TSLA,0.20836660253009473,10.668547411066514,201.41000366210938,2023-11-01
JNJ,0.10038651830095836,1.3278713588818951,148.72999572753906,2023-11-01
XOM,0.1278170603983637,2.044954192295587,106.45500183105469,2023-11-01
WMT,0.07892995082640286,0.9107815461881001,164.00999450683594,2023-11-01
META,0.07392361888001776,4.869329466064516,306.17498779296875,2023-11-01
JPM,0.08222418281543727,1.9965228908374326,139.3000030517578,2023-11-01
V,0.001113466593706064,1.8023139145753209,237.49209594726562,2023-11-01
KO,0.029278647055941187,1.6419192094970183,56.3650016784668,2023-11-01
PEP,0.011916539265900035,1.616621140177503,164.35000610351562,2023-11-01
MCD,0.007930211491380096,1.2908093692716263,260.1300048828125,2023-11-01
AVGO,0.2310057734410106,3.743596389334234,843.0499877929688,2023-11-01
ACN,-0.007694591037981521,1.7106108399262085,298.989990234375,2023-11-01
NKE,-0.03789526699989587,3.5121786925632112,100.45500183105469,2023-11-01
NFLX,0.19833989802581917,9.218674039515715,416.2099914550781,2023-11-01
SBUX,0.2357974391726843,1.5837002399740505,90.79000091552734,2023-11-01
FRSH,-0.002582294554548309,8.294853435951904,17.65999984741211,2023-11-01
